Dates,NEWS_SENTIMENT_DAILY_AVG,TWITTER_SENTIMENT_DAILY_AVG,PX_OPEN,sentiment_label
2022-01-19,-0.0123,0.0573,306.29,negative
2022-01-20,-0.0276,0.02,309.07,negative
2022-01-21,0.0019,0.0085,302.685,positive
2022-01-24,0.0106,0.0095,292.2,positive
2022-01-25,-0.0117,0.0127,291.52,negative
2022-01-26,0.1044,0.0747,307.985,positive
2022-01-27,0.1397,0.0472,302.66,positive
2022-01-28,0.0103,0.0221,300.23,positive
2022-01-31,0.0052,0.007,308.95,positive
2022-02-01,0.0015,0.0083,310.41,positive
2022-02-02,0.0014,0.0067,309.63,positive
2022-02-03,0.0081,0.0086,309.49,positive
2022-02-04,-0.0019,-0.0048,300.21,negative
2022-02-07,0.0035,0.0045,306.17,positive
2022-02-08,0.0027,0.005,301.25,positive
2022-02-09,0.0176,0.0098,309.865,positive
2022-02-10,0.0046,0.0026,304.04,positive
2022-02-11,-0.0072,0.0039,303.19,negative
2022-02-14,0.0048,0.004,293.77,positive
2022-02-15,0.0006,0.0063,300.008,neutral
2022-02-16,0.0005,0.0099,298.365,neutral
2022-02-17,-0.0009,-0.006,296.36,negative
2022-02-18,0.0006,-0.0077,293.05,neutral
2022-02-21,-0.0001,0.0007,293.05,neutral
2022-02-22,-0.004,-0.0034,285.0,negative
2022-02-23,-0.0013,0.0026,290.18,negative
2022-02-24,-0.0008,-0.0061,272.51,negative
2022-02-25,0.0026,-0.0071,295.14,positive
2022-02-28,0.0027,-0.0015,294.31,positive
2022-03-01,-0.0004,-0.0037,296.4,negative
2022-03-02,-0.0002,0.0023,295.36,negative
2022-03-03,0.0006,-0.0036,302.89,neutral
2022-03-04,-0.0001,-0.0052,294.29,neutral
2022-03-07,-0.0003,0.0039,288.53,negative
2022-03-08,0.0014,-0.0094,277.8,positive
2022-03-09,0.0006,0.0032,283.44,neutral
2022-03-10,0.0017,-0.0029,283.02,positive
2022-03-11,-0.0007,-0.0023,287.96,negative
2022-03-14,0.0047,-0.0054,280.34,positive
2022-03-15,-0.001,-0.0044,280.35,negative
2022-03-16,0.0009,0.014,289.11,positive
2022-03-17,-0.0047,0.0017,293.29,negative
